OrderID	ProductID	CustomerID	OrderDate	OrderPriority	OrderQuantity	Sales	Discount	ShipMode	Profit	UnitPrice	ShippingCost
1	10028	19	2009-06-15	High	10	262.40685	0.16	Delivery Truck	49.05	28.14	8.68
2	10020	98	2012-05-08	Not Specified	30	5968.64225	0.2	Express Air	2617.15	203.21	9.05
3	10056	197	2012-02-04	Medium	29	10041.8083	0.21	Express Air	2486.8	355.46	23.65
4	10020	110	2010-10-03	High	10	2732.24399	0.02	Express Air	1687.06	275.35	6.93
5	10047	190	2011-02-03	Medium	4	959.03767	0.08	Delivery Truck	390.5	235.41	2.71
6	10022	224	2012-09-24	Critical	4	1596.36105	0.09	Delivery Truck	533.67	387.42	9.09
7	10013	40	2012-09-06	Critical	7	1006.15156	0.03	Regular Air	377.44	141.35	4.9
8	10014	207	2011-05-29	Not Specified	40	11009.87257	0.15	Delivery Truck	5384.63	270.64	10.21
9	10044	69	2009-03-01	Medium	45	15482.98468	0.09	Express Air	5409.43	305.44	9.61
10	10042	103	2009-05-23	Medium	41	13987.76769	0.13	Delivery Truck	5588.84	388.78	6.27
11	10029	88	2009-11-19	High	47	6977.64604	0.15	Express Air	1079.87	131.1	36.55
12	10048	159	2009-04-12	Low	29	7664.93693	0.11	Express Air	1975.37	265.45	17.51
13	10007	89	2011-05-31	Low	44	11921.75918	0.17	Express Air	3690.68	272.04	5.07
14	10038	15	2009-01-16	Medium	14	4644.80394	0.07	Express Air	2360.15	307.41	8.7
15	10027	45	2009-09-22	Critical	46	4380.51585	0.17	Delivery Truck	1264.39	93.58	5.96
16	10025	221	2009-03-28	Critical	30	12259.92894	0.14	Regular Air	3914.15	368.62	9.03
17	10045	164	2011-05-06	High	26	253.72188	0.2	Regular Air	74.08	10.3	9.65
18	10053	177	2011-01-12	Low	7	710.32648	0.13	Express Air	129.78	98.84	19.39
19	10021	57	2010-11-14	Medium	33	8459.62494	0.05	Regular Air	4810.12	254.02	11.87
20	10022	187	2012-08-14	Medium	7	383.63824	0.15	Regular Air	95.78	60.28	11.64
21	10041	20	2009-12-29	Critical	49	11356.57111	0.17	Express Air	5064.21	226.37	46.25
22	10020	222	2012-07-08	High	29	831.54859	0.08	Regular Air	460.82	29.18	4.85
23	10003	91	2011-11-06	Low	30	4730.54422	0.21	Express Air	749.03	181.86	7.86
24	10054	24	2012-06-13	Not Specified	25	4729.83652	0.2	Delivery Truck	1452.71	186.16	13.54
25	10028	233	2012-03-16	Medium	39	6679.25377	0.02	Express Air	2395.1	191.3	9.43
26	10021	183	2009-06-22	Not Specified	12	224.09996	0.25	Delivery Truck	74.58	17.58	8.34
27	10039	41	2011-01-16	High	25	3917.60514	0.15	Express Air	1055.1	164.69	41.83
28	10004	85	2009-07-13	Not Specified	25	3070.3713	0.16	Delivery Truck	538.98	115.09	13.69
29	10055	39	2010-11-14	Low	43	2393.54409	0.24	Delivery Truck	755.15	58.29	10.78
30	10025	34	2012-05-03	Low	36	5947.66027	0.2	Express Air	1507.53	151.92	38.86
31	10047	176	2011-12-15	Low	43	7028.42216	0.09	Delivery Truck	2807.85	170.52	3.52
32	10013	88	2011-09-23	Medium	9	537.92482	0.2	Regular Air	104.85	63.67	8.11
33	10034	214	2011-12-15	Low	22	7990.87589	0.15	Delivery Truck	3273.1	350.8	3.16
34	10011	213	2012-11-19	Not Specified	47	8059.47792	0.17	Regular Air	2010.54	176.19	4.33
35	10028	157	2010-08-07	Critical	35	3876.78904	0.2	Regular Air	684.16	97.19	13.66
36	10012	95	2012-10-21	Not Specified	30	10018.76058	0.13	Express Air	5090.75	308.24	18.82
37	10012	206	2012-05-23	Medium	4	1144.22296	0.14	Express Air	562.91	257.19	9.2
38	10054	32	2010-08-07	Low	18	3267.97871	0.21	Regular Air	978.11	180.83	2.28
39	10058	57	2011-07-13	High	27	626.77718	0.06	Regular Air	354.88	23.2	14.92
40	10023	58	2009-02-27	High	46	13039.48804	0.03	Regular Air	4298.01	260.68	5.02
41	10053	121	2012-11-26	Medium	31	4766.04588	0.02	Delivery Truck	1520.55	180.54	4.58
42	10053	39	2012-01-29	Not Specified	28	1212.67746	0.08	Delivery Truck	313.63	46.25	1.67
43	10026	164	2012-06-29	Critical	8	2679.86269	0.13	Regular Air	526.12	335.0	9.85
44	10036	62	2009-10-22	High	1	227.48994	0.1	Express Air	77.58	246.69	27.07
45	10023	18	2011-12-14	Not Specified	33	7102.79273	0.12	Delivery Truck	1694.77	222.55	9.9
46	10023	65	2009-02-03	High	23	2359.51147	0.03	Regular Air	769.49	97.97	9.15
47	10048	86	2009-10-01	Low	35	4990.92166	0.21	Express Air	756.49	136.74	42.06
48	10030	162	2010-01-09	Medium	46	14120.73593	0.07	Regular Air	7764.79	310.92	1.61
49	10012	227	2009-03-27	High	33	5797.30327	0.12	Express Air	3009.36	160.49	5.24
50	10018	92	2009-04-08	High	8	2512.67748	0.1	Express Air	1303.55	320.14	28.17
51	10021	250	2010-01-18	Critical	32	5165.36168	0.07	Delivery Truck	2838.79	148.2	2.16
52	10027	21	2011-06-01	Not Specified	35	3665.9799	0.08	Regular Air	1387.93	118.92	5.14
53	10028	155	2011-05-23	Medium	29	3550.62409	0.22	Delivery Truck	562.16	141.92	5.94
54	10027	71	2012-08-02	Low	43	10545.46477	0.2	Regular Air	2731.31	255.73	10.51
55	10001	37	2012-05-29	Critical	9	280.46728	0.09	Regular Air	117.05	28.76	6.36
56	10036	9	2012-05-24	Medium	29	10586.55822	0.19	Delivery Truck	3908.0	379.63	9.03
57	10033	94	2011-03-27	High	18	1612.74429	0.18	Delivery Truck	508.09	101.35	7.99
58	10024	234	2012-02-25	Low	50	5194.89661	0.25	Express Air	1123.51	105.6	19.37
59	10031	52	2009-09-09	Medium	29	2182.15881	0.25	Regular Air	271.33	70.72	12.35
60	10054	82	2012-09-29	High	5	1035.03654	0.07	Delivery Truck	452.21	220.9	3.21
61	10045	238	2012-12-05	Medium	33	3449.50661	0.2	Express Air	1124.37	91.25	13.97
62	10023	142	2012-03-18	High	36	2154.04008	0.02	Express Air	708.88	53.65	23.49
63	10030	135	2011-04-22	Critical	5	245.16109	0.02	Delivery Truck	139.58	51.88	7.52
64	10033	89	2009-09-20	Not Specified	38	3223.5333	0.11	Delivery Truck	1243.43	74.42	13.75
65	10003	213	2009-09-12	Not Specified	20	1278.74568	0.18	Regular Air	237.12	67.53	5.84
66	10033	230	2010-08-05	Low	13	3362.26222	0.03	Express Air	1562.97	254.75	17.29
67	10032	165	2009-12-12	Not Specified	10	727.59291	0.23	Delivery Truck	278.03	70.14	5.73
68	10059	145	2009-03-26	Low	3	1231.13257	0.07	Regular Air	586.99	379.52	3.95
69	10036	107	2012-06-19	Low	41	9367.24003	0.08	Express Air	4479.84	219.14	16.44
70	10025	77	2011-07-18	Low	4	253.1066	0.12	Delivery Truck	80.3	64.92	5.76
71	10009	81	2010-10-16	High	9	2754.98562	0.03	Express Air	1558.59	304.74	11.75
72	10028	64	2009-10-16	Low	19	7972.10712	0.1	Regular Air	2217.71	378.26	14.48
73	10057	41	2010-11-02	Not Specified	21	1462.11663	0.25	Delivery Truck	548.06	77.55	7.54
74	10056	79	2011-10-16	Low	26	6021.99044	0.05	Regular Air	2463.08	203.17	5.94
75	10003	73	2011-10-11	Not Specified	44	8420.43653	0.21	Delivery Truck	1340.24	189.29	7.03
76	10056	68	2011-01-20	Critical	3	494.50101	0.05	Express Air	-219.31	161.43	22.84
77	10017	212	2012-06-30	Not Specified	9	3398.97769	0.2	Regular Air	1081.92	390.08	5.75
78	10023	194	2009-10-23	Medium	33	4601.54869	0.01	Delivery Truck	1599.55	161.75	10.99
79	10051	122	2011-11-30	Critical	39	12434.75036	0.23	Regular Air	3476.27	357.47	5.46
80	10025	158	2010-09-05	Not Specified	33	11050.9657	0.18	Express Air	3074.91	331.66	19.36
81	10023	85	2012-10-11	Low	38	5295.26831	0.22	Express Air	708.03	124.46	33.31
82	10016	248	2012-09-04	Not Specified	15	4445.46712	0.04	Delivery Truck	2479.65	289.12	9.81
83	10039	199	2011-02-18	Medium	16	264.46568	0.03	Delivery Truck	104.52	14.57	1.27
84	10020	108	2009-11-07	Critical	14	2505.55692	0.23	Delivery Truck	1014.06	165.33	13.22
85	10047	187	2009-05-08	Medium	14	3624.4273	0.12	Delivery Truck	1334.76	225.23	6.28
86	10011	118	2011-12-28	High	23	6920.47697	0.17	Delivery Truck	1717.87	271.0	12.25
87	10016	157	2011-09-19	Medium	18	3701.18088	0.24	Regular Air	1327.26	224.12	5.17
88	10018	181	2010-03-01	Critical	31	4933.40529	0.2	Express Air	2108.4	140.82	12.96
89	10024	230	2011-03-20	High	19	404.6957	0.02	Regular Air	168.17	18.74	13.94
90	10041	66	2011-09-09	Medium	35	3918.42221	0.07	Regular Air	2152.6	109.91	2.53
91	10047	151	2010-05-06	Medium	43	14295.20136	0.06	Regular Air	6144.54	362.26	2.4
92	10021	184	2011-08-26	Low	50	3230.64289	0.24	Delivery Truck	1224.43	56.71	3.21
93	10041	240	2011-09-02	Critical	13	3685.76192	0.07	Delivery Truck	2025.34	302.85	1.83
94	10049	23	2012-08-28	Not Specified	35	11448.83528	0.01	Regular Air	5825.01	296.0	13.9
95	10026	226	2009-12-27	Low	32	2618.8313	0.22	Express Air	275.16	76.15	12.91
96	10019	146	2012-05-19	Low	19	3621.03604	0.13	Express Air	868.93	182.83	36.33
97	10032	120	2010-07-13	Medium	22	1448.66146	0.06	Regular Air	807.64	66.67	3.61
98	10047	87	2010-08-28	Not Specified	49	3993.77574	0.16	Delivery Truck	1311.27	78.88	6.68
99	10027	132	2010-11-03	Low	43	1966.58101	0.12	Express Air	633.25	39.96	35.39
100	10024	61	2011-07-04	High	20	4778.64109	0.07	Express Air	1894.25	233.82	17.21
101	10042	31	2011-08-12	High	26	8059.32041	0.22	Regular Air	2486.61	275.06	11.78
102	10044	31	2012-08-01	High	40	4089.40055	0.12	Express Air	1279.25	89.9	29.36
103	10023	107	2012-12-08	Not Specified	49	11101.43381	0.05	Express Air	3425.24	215.93	16.2
104	10055	202	2009-06-17	Not Specified	34	8377.42433	0.14	Express Air	3512.34	282.1	6.18
105	10032	52	2012-03-18	Not Specified	11	1467.39038	0.03	Regular Air	861.88	132.59	3.88
106	10037	126	2009-07-06	Not Specified	4	732.7808	0.11	Express Air	323.97	182.47	5.78
107	10051	79	2009-02-14	Critical	1	305.85053	0.01	Express Air	137.82	298.83	15.11
108	10059	229	2009-05-22	Critical	19	3382.42428	0.19	Regular Air	1202.97	164.73	14.7
109	10041	247	2011-05-11	High	29	11327.10799	0.09	Express Air	5966.49	348.11	36.88
110	10034	35	2012-08-31	High	12	4612.90165	0.03	Regular Air	2430.14	397.15	14.7
111	10053	1	2009-02-16	High	44	12392.16482	0.09	Express Air	3084.57	288.2	13.47
112	10009	71	2010-01-22	Low	43	7840.52267	0.22	Regular Air	2978.18	168.86	1.22
113	10013	18	2009-07-26	Not Specified	29	7382.00024	0.01	Regular Air	2941.43	239.92	11.37
114	10025	113	2010-04-25	Not Specified	49	14687.79052	0.13	Regular Air	4841.92	345.76	5.05
115	10052	235	2012-03-25	High	39	13222.129	0.06	Delivery Truck	7126.68	309.47	13.27
116	10042	134	2010-03-29	Critical	18	536.28197	0.22	Express Air	-146.23	26.26	47.32
117	10022	242	2012-08-10	Critical	21	5700.40202	0.07	Delivery Truck	2048.57	279.13	3.57
118	10034	122	2010-05-09	Medium	46	2704.36547	0.01	Express Air	1466.21	59.45	21.19
119	10033	35	2011-03-07	Medium	14	1632.25087	0.11	Express Air	616.1	133.44	20.48
120	10053	49	2009-04-16	High	44	9206.70989	0.02	Express Air	2904.66	242.78	41.49
121	10042	144	2010-03-21	Critical	22	3029.87067	0.05	Regular Air	1450.68	122.67	3.66
122	10047	31	2011-09-08	Medium	39	10660.72688	0.06	Delivery Truck	4578.61	282.1	5.5
123	10018	98	2011-08-13	Not Specified	23	2748.4356	0.22	Delivery Truck	1119.34	124.75	7.52
124	10051	185	2011-08-20	High	24	2623.0668	0.22	Regular Air	749.31	126.54	11.38
125	10001	67	2012-02-08	Not Specified	47	7081.05195	0.08	Delivery Truck	3180.15	168.2	6.32
126	10053	63	2011-10-20	Not Specified	44	6473.40172	0.12	Delivery Truck	1413.02	136.35	11.13
127	10047	126	2011-08-02	Medium	23	1700.96373	0.12	Delivery Truck	615.52	69.37	13.84
128	10034	165	2009-05-01	Not Specified	5	1986.32363	0.19	Regular Air	728.17	378.18	6.77
129	10053	162	2010-04-19	Low	10	56.497	0.09	Delivery Truck	4.47	5.64	9.65
130	10042	240	2012-06-16	Critical	32	266.87432	0.1	Delivery Truck	113.53	8.26	1.23
131	10046	71	2012-01-03	High	33	11307.1737	0.2	Regular Air	2021.55	325.64	13.74
132	10006	236	2009-07-17	Not Specified	16	1264.19465	0.2	Regular Air	323.95	78.39	4.74
133	10025	21	2011-02-04	Critical	37	3871.90512	0.07	Express Air	1477.04	98.8	33.0
134	10041	195	2009-03-06	Low	25	3775.37602	0.16	Express Air	1708.23	152.11	28.44
135	10054	112	2012-08-13	High	7	2822.14306	0.06	Delivery Truck	1256.34	358.13	13.62
136	10044	228	2012-03-06	Critical	3	1170.84489	0.07	Express Air	-446.49	369.82	29.99
137	10001	247	2010-03-01	Not Specified	49	17653.10483	0.23	Regular Air	5290.74	328.63	5.19
138	10036	62	2012-03-06	Critical	35	5050.77275	0.03	Delivery Truck	2662.07	134.03	14.84
139	10046	21	2011-10-23	High	7	1356.8657	0.09	Regular Air	381.72	175.96	11.77
140	10038	102	2010-10-31	Low	18	5565.49296	0.06	Delivery Truck	2885.32	313.85	8.74
141	10024	111	2010-01-16	Not Specified	25	934.87415	0.2	Delivery Truck	241.44	36.11	10.98
142	10005	69	2009-11-12	Critical	41	2513.32501	0.09	Delivery Truck	1003.05	63.4	2.28
143	10019	114	2011-01-08	High	9	323.81331	0.14	Regular Air	69.55	36.74	8.17
144	10006	7	2009-07-03	High	6	1560.14249	0.22	Delivery Truck	373.26	239.58	1.17
145	10026	100	2009-06-23	Not Specified	37	8178.53737	0.04	Regular Air	2367.02	209.4	4.76
146	10017	127	2009-10-26	Low	28	2943.13287	0.2	Regular Air	935.74	111.83	6.06
147	10015	185	2012-07-04	Critical	40	2816.69525	0.08	Delivery Truck	1112.4	79.83	14.28
148	10021	216	2012-06-24	Critical	29	4292.82721	0.21	Express Air	-1768.1	135.23	39.59
149	10012	123	2010-10-06	Medium	21	2622.9316	0.12	Express Air	1337.98	118.0	25.94
150	10024	72	2011-03-16	High	37	3466.20111	0.04	Regular Air	1478.72	81.52	11.75
151	10001	244	2011-08-04	Medium	19	5506.73844	0.21	Express Air	1719.59	332.85	42.57
152	10008	163	2010-09-13	Medium	43	2661.22901	0.09	Express Air	959.89	63.35	24.76
153	10037	103	2011-12-31	Not Specified	27	6410.21629	0.09	Delivery Truck	2999.26	218.37	13.54
154	10034	153	2012-07-30	Low	50	5289.01716	0.04	Regular Air	2740.71	100.8	9.58
155	10036	166	2012-10-19	Critical	28	1087.83179	0.06	Express Air	505.68	44.17	38.24
156	10014	115	2011-02-06	Critical	50	14401.29822	0.04	Express Air	-8638.93	272.46	48.27
157	10005	30	2009-10-18	High	22	3676.36873	0.12	Express Air	1336.04	183.22	24.22
158	10044	116	2010-10-16	Low	3	860.95297	0.21	Express Air	162.62	324.45	35.4
159	10010	239	2010-05-15	Not Specified	36	2408.76581	0.24	Regular Air	381.15	65.73	4.25
160	10025	162	2010-01-13	Medium	43	6424.85571	0.15	Delivery Truck	1987.95	173.99	3.76
161	10037	110	2011-03-08	Low	14	1263.51446	0.2	Delivery Truck	452.99	83.9	1.88
162	10006	205	2012-01-05	Medium	21	1493.60319	0.17	Express Air	402.14	80.44	31.0
163	10020	153	2011-03-07	Not Specified	38	1723.39733	0.11	Express Air	901.39	47.46	12.01
164	10051	77	2012-06-12	Not Specified	44	2154.64385	0.08	Regular Air	922.94	55.31	3.56
165	10044	37	2011-11-13	Critical	39	2140.55305	0.05	Express Air	799.77	56.87	35.05
166	10011	143	2009-12-08	Critical	9	758.83935	0.15	Express Air	-167.14	76.47	51.53
167	10024	247	2012-02-25	Not Specified	32	5261.7865	0.18	Delivery Truck	1518.71	164.84	7.21
168	10010	22	2012-03-03	Low	19	261.64843	0.07	Regular Air	74.41	15.01	11.93
169	10036	191	2011-10-12	Not Specified	8	1711.4281	0.14	Delivery Truck	703.93	229.94	14.87
170	10034	211	2009-03-27	Critical	14	4881.87591	0.21	Delivery Truck	1697.14	395.93	11.52
171	10019	224	2009-03-08	Critical	23	6955.03708	0.22	Express Air	-1141.18	345.16	9.82
172	10044	90	2012-12-26	Not Specified	28	1699.42919	0.05	Delivery Truck	658.88	68.06	3.9
173	10003	146	2010-12-20	Not Specified	39	7994.22022	0.18	Express Air	1504.25	216.43	14.65
174	10054	132	2012-10-23	Low	49	17358.11331	0.25	Regular Air	4499.97	314.71	13.14
175	10008	180	2009-09-29	Medium	46	5535.19129	0.21	Regular Air	1377.3	130.19	6.5
176	10009	148	2012-07-19	High	27	3565.35369	0.2	Delivery Truck	1414.38	151.32	11.76
177	10025	132	2010-07-24	High	32	3600.61207	0.19	Express Air	931.67	132.26	40.5
178	10029	163	2012-09-22	High	35	6398.03147	0.21	Regular Air	631.87	160.29	7.93
179	10020	213	2010-08-04	High	37	2208.42385	0.2	Delivery Truck	958.19	53.98	13.52
180	10048	13	2009-04-05	Low	30	287.17432	0.04	Delivery Truck	87.38	8.48	7.39
181	10027	52	2012-11-11	Medium	20	1474.86398	0.07	Delivery Truck	565.04	65.27	10.16
182	10016	22	2011-02-01	Medium	26	6968.16239	0.19	Regular Air	2849.94	250.99	7.01
183	10005	181	2009-07-14	Low	31	1052.38766	0.13	Regular Air	371.63	33.02	7.23
184	10000	179	2010-12-05	Low	45	2141.04961	0.1	Express Air	462.64	54.61	29.8
185	10020	95	2010-09-05	Medium	50	18115.71889	0.16	Express Air	8668.27	325.72	27.28
186	10036	3	2012-06-03	Medium	23	6915.06279	0.04	Express Air	3571.97	289.53	23.86
187	10055	56	2009-06-27	Low	49	2672.48548	0.09	Regular Air	1249.06	51.02	7.01
188	10050	36	2010-05-23	High	6	622.93982	0.18	Delivery Truck	287.79	100.77	4.99
189	10044	7	2012-09-10	High	34	7507.54082	0.1	Regular Air	2542.51	243.56	10.05
190	10050	230	2010-05-06	Critical	8	816.06039	0.02	Express Air	-499.52	97.95	33.84
191	10024	221	2012-03-10	Critical	35	10338.68839	0.24	Express Air	-2364.93	273.81	29.77
192	10002	237	2009-05-04	Critical	19	4792.73775	0.1	Delivery Truck	1810.41	252.17	10.83
193	10005	164	2012-01-04	Not Specified	10	1060.18349	0.13	Delivery Truck	377.83	112.43	3.84
194	10051	40	2012-01-04	High	38	10639.47096	0.17	Express Air	3610.57	254.45	6.85
195	10046	245	2010-05-04	Low	6	1964.24706	0.15	Regular Air	450.01	370.0	1.77
196	10042	190	2012-09-09	Medium	1	300.89205	0.04	Regular Air	133.1	283.74	14.34
197	10033	133	2010-06-15	Medium	9	3006.60607	0.18	Express Air	951.91	300.41	10.2
198	10021	207	2011-05-30	High	5	609.24622	0.16	Delivery Truck	272.3	106.65	7.95
199	10032	93	2009-04-24	Critical	11	1511.86393	0.03	Delivery Truck	882.97	148.34	9.03
200	10046	30	2010-04-13	Not Specified	3	880.38973	0.01	Regular Air	319.64	343.76	6.1
201	10058	39	2010-01-02	Low	46	13321.65183	0.08	Delivery Truck	7586.51	296.78	6.83
202	10046	82	2010-07-10	Low	24	1250.27824	0.01	Delivery Truck	458.48	49.52	4.12
203	10033	12	2011-04-02	Low	19	5552.99403	0.02	Express Air	2642.88	309.86	22.56
204	10018	145	2010-09-15	Not Specified	30	5088.03515	0.25	Regular Air	1921.59	148.57	11.86
205	10046	231	2012-01-25	Medium	1	319.8027	0.14	Regular Air	66.85	373.09	9.9
206	10044	225	2009-01-20	High	49	14269.31159	0.18	Regular Air	3707.56	263.61	2.46
207	10033	61	2011-05-10	Critical	10	2504.14475	0.23	Regular Air	662.56	285.24	13.56
208	10033	106	2012-12-06	High	48	1509.49009	0.03	Express Air	676.86	35.79	32.6
