OrderID	ProductID	CustomerID	OrderDate	OrderPriority	OrderQuantity	Sales	Discount	ShipMode	Profit	UnitPrice	ShippingCost
8710	657768	40732966	2009-01-04	Critical	42	151.35000	0.07	Express Air	8.33	3.71	1.93
5251	497741	40732966	2011-04-11	Medium	38	3821.03900	0.05	Express Air	1057.89	115.99	5.99
17024	778385	40732966	2009-10-13	Medium	31	1401.75000	0.02	Regular Air	426.44	42.98	4.62
16326	657768	68464052	2010-05-10	High	39	147.46000	0.06	Regular Air	14.13	3.71	1.93
15808	518917	68464052	2010-12-14	Critical	3	58.14000	0.01	Regular Air	-96.25	20.99	4.81
12452	955858	68464052	2010-12-07	Medium	17	112.86000	0.04	Regular Air	-56.78	6.60	4.07
15808	700324	68464052	2010-12-14	Critical	33	126.88000	0.05	Regular Air	12.63	3.70	1.61
16326	851117	68464052	2010-05-10	High	39	1538.33000	0.03	Regular Air	471.35	39.48	1.99
40961	189993	68464052	2011-03-30	Medium	7	23.84000	0.02	Regular Air	5.88	3.15	0.50
15808	877669	68464052	2010-12-14	Critical	42	906.64000	0.07	Express Air	-148.93	22.38	15.10
15808	284312	68464052	2010-12-14	Critical	45	882.96000	0.06	Regular Air	11.65	19.98	4.00
59815	657768	63834266	2010-12-15	Not Specified	14	51.56000	0.09	Regular Air	-1.06	3.71	1.93
36647	114426	63834266	2009-06-30	High	16	55.44000	0.09	Regular Air	-21.91	3.68	1.32
36356	816179	63834266	2011-12-25	Medium	33	117.77000	0.08	Regular Air	47.98	3.75	0.50
58470	657768	38512011	2011-06-08	High	13	49.08000	0.06	Regular Air	-0.31	3.71	1.93
34083	367450	38512011	2012-02-05	Not Specified	29	1415.14800	0.02	Express Air	-64.94	55.99	5.00
35239	460438	38512011	2011-11-12	Critical	38	2257.88000	0.01	Regular Air	474.98	59.76	9.71
50657	657768	82335880	2011-12-18	High	16	60.02000	0.10	Express Air	0.94	3.71	1.93
47173	560855	82335880	2009-09-01	Not Specified	41	277.07450	0.03	Regular Air	-128.44	7.99	5.03
34017	293693	58046234	2009-03-23	High	20	103.39000	0.05	Express Air	29.17	4.84	0.71
26918	293693	9130094	2009-04-06	Low	16	77.96000	0.05	Regular Air	16.65	4.84	0.71
54342	293693	60559394	2009-06-08	Low	2	10.48000	0.02	Regular Air	-5.65	4.84	0.71
21831	1000550	60559394	2009-09-19	Not Specified	6	28.39000	0.05	Regular Air	3.84	4.98	0.49
34275	293693	21939120	2009-07-01	Low	27	123.46000	0.07	Regular Air	26.66	4.84	0.71
29382	709485	21939120	2010-11-17	High	34	684.66000	0.07	Express Air	35.09	19.98	10.49
44576	491105	21939120	2009-12-25	Not Specified	38	5016.25000	0.01	Delivery Truck	-189.35	124.49	51.94
47876	91978	21939120	2009-12-25	High	8	365.22000	0.04	Regular Air	58.08	46.89	5.10
4004	293693	75726086	2010-05-06	Medium	14	63.52000	0.10	Regular Air	8.66	4.84	0.71
39972	656848	75726086	2012-09-25	Not Specified	35	224.58000	0.03	Regular Air	108.49	6.30	0.50
39972	481924	75726086	2012-09-25	Not Specified	36	138.59000	0.01	Regular Air	62.73	3.69	0.50
44229	293693	94530777	2010-05-14	Medium	39	185.69000	0.02	Regular Air	50.16	4.84	0.71
45125	344239	94530777	2012-05-28	Critical	32	4834.80000	0.00	Regular Air	1193.11	175.99	4.99
13861	293693	21258025	2010-08-11	High	7	37.30000	0.00	Regular Air	5.03	4.84	0.71
39330	535988	21258025	2010-07-17	Critical	29	184.77000	0.00	Express Air	-71.96	5.74	5.30
46336	293693	45311141	2011-07-29	High	31	143.85000	0.10	Regular Air	34.14	4.84	0.71
56420	259219	45311141	2011-07-24	Low	22	2403.13700	0.00	Regular Air	377.62	125.99	8.99
57412	560855	45311141	2009-07-13	Low	34	223.49900	0.06	Regular Air	-122.13	7.99	5.03
39169	293693	78224739	2011-08-26	Medium	5	24.91000	0.00	Regular Air	-0.90	4.84	0.71
13476	368543	78224739	2010-10-16	Not Specified	47	231.29000	0.09	Express Air	-147.86	4.91	5.68
1444	757487	78224739	2009-12-05	Medium	24	416.40000	0.02	Regular Air	24.33	17.15	4.96
46662	293693	30578487	2011-12-29	Critical	33	162.00000	0.01	Regular Air	45.84	4.84	0.71
46662	72479	30578487	2011-12-29	Critical	48	3410.15750	0.10	Regular Air	1137.91	85.99	0.99
5860	293693	85111166	2012-02-19	Not Specified	12	56.73000	0.09	Regular Air	8.33	4.84	0.71
