ProductID	ProductName	ProductCategory	ProductSubCategory	ProductContainer	ProductBaseMargin
657768	"""While you Were Out"" Message Book, One Form per Page"	Office Supplies	Paper	Wrap Bag	0.35
293693	*Staples* Highlighting Markers	Office Supplies	Pens & Art Supplies	Wrap Bag	0.52
585679	*Staples* Letter Opener	Office Supplies	"Scissors, Rulers and Trimmers"	Wrap Bag	0.81
484597	*Staples* Packaging Labels	Office Supplies	Labels	Small Box	0.38
114426	"*Staples* vLetter Openers, 2/Pack"	Office Supplies	"Scissors, Rulers and Trimmers"	Wrap Bag	0.83
939925	#10 Self-Seal White Envelopes	Office Supplies	Envelopes	Small Box	0.36
234470	"#10 White Business Envelopes,4 1/8 x 9 1/2"	Office Supplies	Envelopes	Small Box	0.38
789601	"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"	Office Supplies	Envelopes	Small Box	0.38
547380	"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes"	Office Supplies	Envelopes	Small Box	0.36
881139	"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"	Office Supplies	Envelopes	Small Box	0.40
321823	#6 3/4 Gummed Flap White Envelopes	Office Supplies	Envelopes	Small Box	0.37
245102	"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"	Office Supplies	Appliances	Jumbo Drum	0.58
498918	"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack"	Office Supplies	Paper	Small Box	0.38
805629	12 Colored Short Pencils	Office Supplies	Pens & Art Supplies	Wrap Bag	0.58
709485	12-1/2 Diameter Round Wall Clock	Furniture	Office Furnishings	Small Box	0.49
506813	14-7/8 x 11 Blue Bar Computer Printout Paper	Office Supplies	Paper	Small Box	0.37
518917	1726 Digital Answering Machine	Technology	Telephones and Communication	Medium Box	0.58
229356	"210 Trimline Phone, White"	Technology	Office Machines	Medium Box	0.38
497741	2160	Technology	Telephones and Communication	Small Box	0.57
196617	2160i	Technology	Telephones and Communication	Small Box	0.59
250333	2180	Technology	Telephones and Communication	Small Box	0.57
397917	2190	Technology	Telephones and Communication	Small Box	0.56
774393	2300 Heavy-Duty Transfer File Systems by Perma	Office Supplies	Storage & Organization	Small Box	0.66
477659	232	Technology	Telephones and Communication	Small Box	0.55
754090	"24 Capacity Maxi Data Binder Racks, Pearl"	Office Supplies	Storage & Organization	Small Box	0.60
330371	252	Technology	Telephones and Communication	Small Box	0.55
1029214	270c	Technology	Telephones and Communication	Small Box	0.59
217058	282	Technology	Telephones and Communication	Small Box	0.56
955858	"3.5"" IBM Formatted Diskettes, DS/HD"	Technology	Computer Peripherals	Small Pack	0.66
