Company: Superstore Analytics
Generated: 2026-08-30
Currency: CAD

OrderID,OrderDate,Region,Category,Product,ShipMode,Quantity,Sales,Discount,Profit
8710,2009-01-04,Ontario,Office Supplies,"""While you Were Out"" Message Book, One Form per Page",Express Air,42,151.35000,0.07,8.33
5251,2011-04-11,Ontario,Technology,2160,Express Air,38,3821.03900,0.05,1057.89
17024,2009-10-13,Ontario,Office Supplies,Belkin F9M820V08 8 Outlet Surge,Regular Air,31,1401.75000,0.02,426.44
16326,2010-05-10,Ontario,Office Supplies,"""While you Were Out"" Message Book, One Form per Page",Regular Air,39,147.46000,0.06,14.13
15808,2010-12-14,Ontario,Technology,1726 Digital Answering Machine,Regular Air,3,58.14000,0.01,-96.25
12452,2010-12-07,Ontario,Technology,"3.5"" IBM Formatted Diskettes, DS/HD",Regular Air,17,112.86000,0.04,-56.78
15808,2010-12-14,Ontario,Furniture,3M Hangers With Command Adhesive,Regular Air,33,126.88000,0.05,12.63
16326,2010-05-10,Ontario,Technology,"80 Minute CD-R Spindle, 100/Pack - Staples",Regular Air,39,1538.33000,0.03,471.35
40961,2011-03-30,Ontario,Office Supplies,Avery 520,Regular Air,7,23.84000,0.02,5.88
15808,2010-12-14,Ontario,Office Supplies,"Avery Flip-Chart Easel Binder, Black",Express Air,42,906.64000,0.07,-148.93
15808,2010-12-14,Ontario,Technology,Belkin 105-Key Black Keyboard,Regular Air,45,882.96000,0.06,11.65
59815,2010-12-15,West,Office Supplies,"""While you Were Out"" Message Book, One Form per Page",Regular Air,14,51.56000,0.09,-1.06
36647,2009-06-30,West,Office Supplies,"*Staples* vLetter Openers, 2/Pack",Regular Air,16,55.44000,0.09,-21.91
36356,2011-12-25,West,Office Supplies,Avery 510,Regular Air,33,117.77000,0.08,47.98
58470,2011-06-08,West,Office Supplies,"""While you Were Out"" Message Book, One Form per Page",Regular Air,13,49.08000,0.06,-0.31
34083,2012-02-05,West,Technology,Accessory6,Express Air,29,1415.14800,0.02,-64.94
35239,2011-11-12,West,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Regular Air,38,2257.88000,0.01,474.98
50657,2011-12-18,Atlantic,Office Supplies,"""While you Were Out"" Message Book, One Form per Page",Express Air,16,60.02000,0.10,0.94
47173,2009-09-01,Atlantic,Technology,Bell Sonecor JB700 Caller ID,Regular Air,41,277.07450,0.03,-128.44
34017,2009-03-23,Ontario,Office Supplies,*Staples* Highlighting Markers,Express Air,20,103.39000,0.05,29.17
26918,2009-04-06,Ontario,Office Supplies,*Staples* Highlighting Markers,Regular Air,16,77.96000,0.05,16.65
54342,2009-06-08,West,Office Supplies,*Staples* Highlighting Markers,Regular Air,2,10.48000,0.02,-5.65
21831,2009-09-19,West,Office Supplies,Avery White Multi-Purpose Labels,Regular Air,6,28.39000,0.05,3.84
34275,2009-07-01,Atlantic,Office Supplies,*Staples* Highlighting Markers,Regular Air,27,123.46000,0.07,26.66
29382,2010-11-17,Atlantic,Furniture,12-1/2 Diameter Round Wall Clock,Express Air,34,684.66000,0.07,35.09
44576,2009-12-25,Atlantic,Furniture,Bevis 36 x 72 Conference Tables,Delivery Truck,38,5016.25000,0.01,-189.35
47876,2009-12-25,Atlantic,Office Supplies,Bionaire Personal Warm Mist Humidifier/Vaporizer,Regular Air,8,365.22000,0.04,58.08
4004,2010-05-06,Quebec,Office Supplies,*Staples* Highlighting Markers,Regular Air,14,63.52000,0.10,8.66
39972,2012-09-25,Quebec,Office Supplies,Avery 48,Regular Air,35,224.58000,0.03,108.49
39972,2012-09-25,Quebec,Office Supplies,Boston 1799 Powerhouseª Electric Pencil Sharpener,Regular Air,36,138.59000,0.01,62.73
44229,2010-05-14,Ontario,Office Supplies,*Staples* Highlighting Markers,Regular Air,39,185.69000,0.02,50.16
45125,2012-05-28,Ontario,Technology,5165,Regular Air,32,4834.80000,0.00,1193.11
13861,2010-08-11,Ontario,Office Supplies,*Staples* Highlighting Markers,Regular Air,7,37.30000,0.00,5.03
39330,2010-07-17,Ontario,Office Supplies,Acme Kleencut¨ Forged Steel Scissors,Express Air,29,184.77000,0.00,-71.96
46336,2011-07-29,West,Office Supplies,*Staples* Highlighting Markers,Regular Air,31,143.85000,0.10,34.14
56420,2011-07-24,West,Technology,5170i,Regular Air,22,2403.13700,0.00,377.62
57412,2009-07-13,West,Technology,Bell Sonecor JB700 Caller ID,Regular Air,34,223.49900,0.06,-122.13
39169,2011-08-26,Quebec,Office Supplies,*Staples* Highlighting Markers,Regular Air,5,24.91000,0.00,-0.90
13476,2010-10-16,Quebec,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Express Air,47,231.29000,0.09,-147.86
1444,2009-12-05,Quebec,Office Supplies,Advantus Rolling Storage Box,Regular Air,24,416.40000,0.02,24.33
46662,2011-12-29,West,Office Supplies,*Staples* Highlighting Markers,Regular Air,33,162.00000,0.01,45.84
46662,2011-12-29,West,Office Supplies,Laser & Ink Jet Business Envelopes,Regular Air,48,3410.15750,0.10,1137.91
5860,2012-02-19,West,Office Supplies,*Staples* Highlighting Markers,Regular Air,12,56.73000,0.09,8.33
3172,2012-06-02,West,Technology,Accessory39,Regular Air,33,584.51100,0.05,-95.98
24705,2011-09-15,West,Office Supplies,"Angle-D Binders with Locking Rings, Label Holders",Regular Air,34,260.51000,0.03,-127.52
14018,2010-06-06,West,Office Supplies,Avery White Multi-Purpose Labels,Express Air,30,160.68000,0.08,77.75
42246,2012-04-26,Ontario,Office Supplies,*Staples* Highlighting Markers,Regular Air,5,25.31000,0.05,-0.50
2691,2012-04-29,Ontario,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Delivery Truck,14,3363.14000,0.10,98.75
53698,2012-06-16,Ontario,Office Supplies,*Staples* Highlighting Markers,Express Air,10,55.33000,0.00,13.38
6592,2009-12-01,Ontario,Office Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Regular Air,29,194.29000,0.09,-177.17
44960,2011-05-03,Ontario,Office Supplies,Acme¨ Office Executive Series Stainless Steel Trimmers,Regular Air,22,180.92000,0.10,-82.54
44960,2011-05-03,Ontario,Technology,BASF Silver 74 Minute CD-R,Regular Air,17,31.68000,0.04,-23.69
37473,2009-10-01,West,Office Supplies,*Staples* Letter Opener,Regular Air,42,88.23000,0.10,-195.93
5543,2010-09-24,Quebec,Office Supplies,*Staples* Letter Opener,Regular Air,27,67.30000,0.02,-115.38
5543,2010-09-24,Quebec,Office Supplies,Belkin Premiere Surge Master II 8-outlet surge protector,Regular Air,15,703.54000,0.04,138.46
2628,2010-10-21,Ontario,Office Supplies,*Staples* Letter Opener,Regular Air,14,34.59000,0.04,-60.13
11362,2012-09-10,Atlantic,Office Supplies,*Staples* Letter Opener,Regular Air,27,63.02000,0.07,-119.66
37888,2009-12-22,Atlantic,Office Supplies,Avery Legal 4-Ring Binder,Regular Air,31,639.19000,0.09,274.90
3808,2009-04-23,Atlantic,Office Supplies,*Staples* Packaging Labels,Regular Air,2,6.13000,0.08,-2.83
21799,2011-04-19,Atlantic,Office Supplies,12 Colored Short Pencils,Express Air,42,115.99000,0.05,-53.35
22628,2009-10-29,Atlantic,Furniture,Bevis Steel Folding Chairs,Delivery Truck,30,2951.70000,0.02,-1111.45
35300,2010-03-02,Atlantic,Office Supplies,*Staples* Packaging Labels,Regular Air,10,28.81000,0.02,7.15
10048,2009-05-15,West,Office Supplies,"*Staples* vLetter Openers, 2/Pack",Regular Air,21,78.57000,0.02,-20.65
