LineID,OrderID,ProductID,CustomerID,OrderDate,OrderPriority,OrderQuantity,Sales,Discount,ShipMode,Profit,UnitPrice,ShippingCost
7034,51648,538736,72058336,2012-01-01,Low,50,187.88000,0.08,Regular Air,-38.23,3.98,2.97
7036,51648,90051,72058336,2012-01-01,Low,45,2354.80000,0.03,Regular Air,332.97,49.99,19.99
2123,54214,1039462,96628821,2012-01-02,Medium,38,7325.63000,0.04,Express Air,1899.23,199.99,24.49
6456,29030,479758,74001204,2012-01-02,Medium,10,192.58000,0.05,Regular Air,24.60,19.84,4.10
6488,47591,216626,12756390,2012-01-02,Critical,27,279.40000,0.10,Regular Air,-92.25,10.48,6.91
373,10945,66293,47273840,2012-01-03,Medium,14,1170.02500,0.04,Regular Air,4.22,95.99,8.99
1697,16164,421568,69641516,2012-01-03,Low,26,69.38000,0.08,Regular Air,-70.73,2.52,4.28
4069,35811,592380,40482968,2012-01-03,Critical,6,10.39000,0.10,Regular Air,-3.24,1.76,0.70
4543,16164,685823,69641516,2012-01-03,Low,22,3353.54000,0.07,Regular Air,1189.96,162.93,19.99
4577,16164,419790,56916595,2012-01-03,Low,26,2354.15000,0.03,Delivery Truck,774.79,90.97,14.00
5058,50471,367410,36405393,2012-01-03,Low,25,5859.25000,0.02,Delivery Truck,1358.53,226.67,28.16
5800,35811,845743,40482968,2012-01-03,Critical,49,741.57000,0.10,Regular Air,352.41,15.57,1.39
6203,43494,388220,29025972,2012-01-03,Medium,2,3668.28000,0.09,Regular Air,-4858.67,1938.02,13.99
2543,39619,91652,79533912,2012-01-04,Low,15,742.80000,0.02,Regular Air,265.87,49.34,10.25
2877,7107,430810,91042485,2012-01-04,Not Specified,3,172.04000,0.02,Regular Air,143.08,54.20,11.10
3730,55011,397638,97257760,2012-01-04,Critical,48,452.28000,0.09,Regular Air,-21.00,9.85,4.82
5159,31555,499951,60796863,2012-01-04,Critical,5,500.50000,0.02,Delivery Truck,-153.31,90.97,28.00
5160,31555,1054629,60796863,2012-01-04,Critical,38,3531.75000,0.00,Regular Air,572.26,88.84,20.79
5455,55011,117213,97257760,2012-01-04,Critical,18,55.82000,0.01,Regular Air,14.19,2.94,0.81
6254,7107,525375,91042485,2012-01-04,Not Specified,32,1724.82000,0.10,Regular Air,407.80,55.29,5.08
6257,7107,455222,91042485,2012-01-04,Not Specified,3,113.14000,0.06,Regular Air,-21.23,37.94,5.08
6396,44646,587889,27000509,2012-01-04,Low,47,12723.95000,0.08,Regular Air,11.54,279.48,35.00
959,52516,1038283,47862852,2012-01-05,High,19,192.39000,0.08,Express Air,-31.67,10.23,4.68
1380,5601,680802,19986307,2012-01-05,High,10,120.53000,0.10,Regular Air,49.26,12.22,2.85
1557,4800,175474,91212453,2012-01-05,Low,17,89.25000,0.01,Regular Air,40.88,4.91,0.50
2200,16036,918216,80699720,2012-01-05,Medium,28,169.22000,0.05,Regular Air,-165.11,5.81,8.49
2793,4800,515586,91212453,2012-01-05,Low,4,41.94000,0.05,Regular Air,-26.17,8.04,8.94
3182,16036,224170,34167695,2012-01-05,Medium,28,2160.27000,0.09,Regular Air,-818.32,80.98,35.00
3538,10432,98806,17033987,2012-01-05,Low,13,2323.36000,0.08,Regular Air,220.39,179.99,19.99
3834,16036,885014,80699720,2012-01-05,Medium,10,1319.42100,0.07,Regular Air,-268.87,155.99,8.08
4029,52516,1048806,47862852,2012-01-05,High,50,4962.05000,0.08,Delivery Truck,335.29,119.99,56.14
4424,4800,855099,91212453,2012-01-05,Low,7,79.81000,0.07,Regular Air,-4.28,11.55,2.36
5563,16036,823075,80699720,2012-01-05,Medium,33,550.93000,0.10,Regular Air,-141.60,17.70,9.47
7092,13444,1010521,61746358,2012-01-05,High,33,154.44000,0.06,Regular Air,54.62,4.76,0.88
7713,25442,103518,98456564,2012-01-05,High,40,453.98000,0.02,Regular Air,67.60,11.34,5.01
8024,25442,215636,36061198,2012-01-05,High,32,1666.00000,0.08,Regular Air,742.96,55.48,4.85
3915,57698,669077,79423257,2012-01-06,Critical,10,86.00000,0.05,Regular Air,-66.91,7.77,9.23
3916,57698,689598,79423257,2012-01-06,Critical,13,4805.36000,0.04,Regular Air,1127.31,363.25,19.99
7748,56645,1021964,35074595,2012-01-06,Low,46,1483.49000,0.02,Regular Air,65.82,30.98,17.08
2373,54115,392183,33932452,2012-01-07,Low,39,197.11000,0.03,Regular Air,-89.42,4.98,4.95
2374,54115,210383,33932452,2012-01-07,Low,24,114.17000,0.01,Regular Air,-80.05,4.37,5.15
2884,45284,152427,93660979,2012-01-07,High,7,91.43000,0.00,Regular Air,-42.98,11.66,8.99
1019,42886,816179,11726321,2012-01-08,Medium,42,162.57000,0.02,Regular Air,75.80,3.75,0.50
1067,54307,368543,25602747,2012-01-08,High,41,198.29000,0.08,Regular Air,-134.41,4.91,5.68
1407,26818,69354,28941888,2012-01-08,Not Specified,36,251.34000,0.10,Regular Air,-162.20,7.30,7.72
2690,26818,231361,28941888,2012-01-08,Not Specified,23,202.84000,0.05,Regular Air,-19.48,8.85,5.60
2969,7042,136430,37216054,2012-01-08,Medium,4,1187.86400,0.07,Delivery Truck,-347.16,376.13,85.63
4386,59456,242307,31848876,2012-01-08,Low,30,182.92000,0.06,Regular Air,-1367.72,4.48,49.00
6015,54307,228599,79954809,2012-01-08,High,15,243.52000,0.01,Regular Air,-59.64,14.89,13.56
6049,26818,607882,28941888,2012-01-08,Not Specified,5,78.39000,0.01,Express Air,-5.16,11.97,4.98
7991,5409,538736,26860291,2012-01-08,Low,11,48.91000,0.01,Regular Air,-7.04,3.98,2.97
638,48704,259219,86967557,2012-01-09,High,11,1247.85950,0.01,Regular Air,-55.80,125.99,8.99
1387,14820,560855,32605811,2012-01-09,High,39,278.90200,0.04,Express Air,-104.47,7.99,5.03
6261,51424,331004,60937343,2012-01-09,Not Specified,5,88.94000,0.05,Regular Air,-47.54,16.74,7.04
6262,51424,430465,60937343,2012-01-09,Not Specified,48,113.98000,0.10,Regular Air,21.29,2.62,0.80
1793,44033,491105,59862529,2012-01-10,Critical,45,5811.97000,0.03,Delivery Truck,-434.15,124.49,51.94
3372,18275,579387,32444392,2012-01-10,Low,25,322.73000,0.07,Regular Air,101.83,13.40,4.95
4465,10053,391118,34013170,2012-01-10,High,31,162.58000,0.00,Regular Air,-109.86,4.89,4.93
6260,34662,79342,38783437,2012-01-10,Critical,35,12741.81000,0.09,Delivery Truck,95.06,370.98,99.00
214,59969,321823,21909421,2012-01-11,High,42,437.73000,0.01,Regular Air,205.70,9.90,1.39
1659,47879,704553,65757696,2012-01-11,Critical,19,172.54000,0.08,Regular Air,44.23,9.11,2.15
3613,59969,680591,21909421,2012-01-11,High,16,275.01000,0.00,Regular Air,-87.11,15.70,11.25
3860,44036,757246,55790716,2012-01-11,High,40,250.13000,0.01,Express Air,61.97,5.84,1.20
4033,51970,250765,55827442,2012-01-11,Not Specified,1,171.71000,0.06,Delivery Truck,-343.47,115.99,56.14
5013,22663,585869,24078858,2012-01-11,Low,15,7190.06000,0.08,Delivery Truck,1908.45,500.98,28.14
5014,22663,661224,24078858,2012-01-11,Low,35,9843.11000,0.07,Delivery Truck,-384.60,280.98,57.00
5613,54786,747572,25750022,2012-01-11,Not Specified,30,380.28000,0.08,Regular Air,-20.58,13.48,4.51
218,292,321823,26421512,2012-01-12,High,43,412.62000,0.08,Regular Air,175.54,9.90,1.39
2465,51269,820841,70928312,2012-01-12,High,2,21.07000,0.00,Regular Air,-10.43,8.69,2.99
3406,7783,231361,48663618,2012-01-12,Medium,3,31.35000,0.03,Regular Air,-14.62,8.85,5.60
4257,5382,120049,69084540,2012-01-12,Low,30,260.12000,0.05,Regular Air,36.54,8.98,4.19
4425,28485,269026,23344923,2012-01-12,High,12,49.18000,0.07,Regular Air,0.58,4.28,0.94
4909,21382,279374,19646967,2012-01-12,Critical,21,6435.87000,0.04,Delivery Truck,935.06,300.98,64.73
4910,21382,875716,19646967,2012-01-12,Critical,11,312.03000,0.08,Regular Air,-66.66,29.99,5.50
5844,51269,805551,70928312,2012-01-12,Critical,20,430.41000,0.08,Regular Air,-1.55,22.98,7.58
7926,21382,584472,98791614,2012-01-12,Critical,27,145.93000,0.00,Regular Air,-113.32,4.98,7.44
3780,22914,216645,67539279,2012-01-13,Critical,30,336.65000,0.07,Regular Air,-71.05,11.70,6.96
4613,52068,870163,30238656,2012-01-13,Not Specified,17,441.53000,0.07,Delivery Truck,-119.55,25.98,14.36
4615,52068,724277,30238656,2012-01-13,Not Specified,21,1217.50000,0.07,Delivery Truck,-412.36,58.14,36.61
6373,52068,515534,30238656,2012-01-13,Not Specified,47,24559.91000,0.01,Delivery Truck,7358.66,517.48,16.63
7088,6501,742897,15571411,2012-01-13,High,35,236.99000,0.06,Regular Air,-95.79,6.48,6.74
7689,52068,99546,30238656,2012-01-13,Not Specified,31,163.27000,0.04,Regular Air,-0.62,5.28,2.99
5051,16807,48396,44667886,2012-01-15,Medium,30,215.85000,0.09,Regular Air,60.95,7.40,1.71
