LineID,OrderID,ProductID,CustomerID,OrderDate,OrderPriority,OrderQuantity,Sales,Discount,ShipMode,Profit,UnitPrice,ShippingCost
222,16262,954944,73966703,2011-01-01,Low,11,62.84000,0.06,Express Air,9.53,5.18,2.04
3474,52640,508763,24718220,2011-01-01,Medium,18,1163.75000,0.05,Express Air,222.17,63.98,19.99
5123,2277,584340,65058193,2011-01-01,Not Specified,10,66.54000,0.01,Regular Air,-46.03,5.98,4.38
7684,17058,317100,19029328,2011-01-01,High,15,72.67000,0.04,Regular Air,-62.37,4.28,6.72
7927,2277,267787,65058193,2011-01-01,Not Specified,21,845.32000,0.06,Regular Air,33.67,40.99,19.99
3536,10144,476021,17033987,2011-01-02,Critical,16,5403.75000,0.08,Delivery Truck,103.83,355.98,58.92
5261,10144,953470,17033987,2011-01-02,Critical,1,192.49000,0.02,Delivery Truck,-98.30,160.98,30.00
6824,10436,575546,93675598,2011-01-02,Low,24,138.75000,0.09,Regular Air,49.81,5.84,1.00
7881,24033,752280,24718220,2011-01-02,High,50,1227.18000,0.00,Delivery Truck,-252.53,23.99,15.68
912,25188,988535,31869933,2011-01-03,Medium,20,1564.16150,0.00,Regular Air,682.48,85.99,2.50
3061,9221,50693,45612560,2011-01-03,Low,9,79.64000,0.03,Regular Air,-377.74,3.25,49.00
6238,4006,455222,18361125,2011-01-03,Medium,38,1441.61000,0.06,Regular Air,624.84,37.94,5.08
6431,9221,954683,45612560,2011-01-03,Low,25,1527.42000,0.04,Regular Air,326.40,60.98,19.99
128,44198,933326,38038963,2011-01-04,Critical,35,625.94850,0.04,Express Air,-87.02,20.99,3.30
180,802,314991,102252318,2011-01-04,Critical,2,38.50000,0.09,Regular Air,-52.14,15.99,9.40
915,33473,865125,56549626,2011-01-04,Low,50,600.22000,0.08,Regular Air,27.86,12.98,3.14
1938,802,445951,102252318,2011-01-04,Critical,33,378.60000,0.08,Regular Air,12.72,11.70,5.63
3024,54528,152427,38342784,2011-01-04,Medium,17,207.19000,0.01,Regular Air,-85.91,11.66,8.99
3041,58054,332624,92552035,2011-01-04,High,26,61.40000,0.04,Regular Air,-92.11,2.08,5.33
4169,52486,888848,96713610,2011-01-04,Not Specified,41,11883.20000,0.10,Regular Air,4160.88,300.97,7.18
6137,6560,945371,54579803,2011-01-04,Low,20,169.18000,0.09,Regular Air,-18.73,8.67,3.50
6417,54528,325508,38342784,2011-01-04,Medium,8,88.00000,0.06,Regular Air,-6.38,10.48,2.89
7516,54528,827242,97790785,2011-01-04,Medium,15,92.03000,0.03,Regular Air,19.71,6.08,0.91
5233,25028,140526,99162955,2011-01-05,Critical,5,477.39000,0.02,Delivery Truck,-211.36,81.94,55.81
6771,25028,455222,99162955,2011-01-05,Critical,14,552.08000,0.00,Express Air,203.24,37.94,5.08
1434,8195,494051,97790785,2011-01-06,Medium,5,51.30000,0.05,Express Air,-32.48,7.28,11.15
2415,29958,1012355,9969848,2011-01-06,High,47,307.57000,0.00,Regular Air,-72.30,6.37,5.19
2928,43808,845978,81926227,2011-01-06,Low,16,108.73000,0.04,Regular Air,-22.21,6.24,5.22
3077,35845,136430,73763693,2011-01-06,High,15,5713.48000,0.05,Delivery Truck,-712.53,376.13,85.63
4051,29958,528974,9969848,2011-01-06,High,32,14861.07000,0.10,Delivery Truck,3408.29,500.98,26.00
4330,8195,912860,97790785,2011-01-06,Medium,1,8.48000,0.10,Regular Air,-7.90,5.08,3.63
4331,8195,695980,97790785,2011-01-06,Medium,26,87.52000,0.03,Regular Air,-70.02,3.28,3.97
920,50945,444231,50764704,2011-01-07,Critical,27,834.06250,0.01,Regular Air,192.29,35.99,1.25
3121,3488,381761,65592088,2011-01-07,Medium,39,4669.19000,0.06,Delivery Truck,-1864.08,122.99,70.20
6467,3488,625704,65592088,2011-01-07,Medium,6,133.40000,0.02,Regular Air,-0.31,21.98,2.87
866,52672,767830,65797980,2011-01-08,Low,29,1499.52750,0.09,Regular Air,188.98,65.99,5.26
2310,46402,592044,9630170,2011-01-08,Medium,27,826.27000,0.03,Regular Air,322.88,29.18,8.55
3392,58340,199819,8933378,2011-01-08,Medium,36,1936.30000,0.03,Regular Air,278.12,50.98,13.66
4627,7840,391118,62872976,2011-01-08,Low,34,157.56000,0.10,Regular Air,-139.35,4.89,4.93
5688,46402,152521,9630170,2011-01-08,Medium,29,1777.46900,0.01,Regular Air,166.37,66.99,13.99
5689,46402,1037740,9630170,2011-01-08,Medium,12,1219.14650,0.01,Express Air,52.93,115.99,2.50
2273,1445,648476,87932728,2011-01-09,Medium,3,1326.09000,0.00,Regular Air,-20.55,420.98,19.99
3470,40225,888871,47416847,2011-01-09,Low,50,839.07000,0.06,Regular Air,212.73,16.74,5.08
3471,40225,381761,47416847,2011-01-09,Low,45,5643.49000,0.05,Delivery Truck,-1857.06,122.99,70.20
3886,19654,633903,25750022,2011-01-09,High,8,381.69000,0.04,Regular Air,256.18,46.94,6.77
4521,43814,850189,59426264,2011-01-09,Medium,47,199.48000,0.03,Regular Air,13.80,4.20,2.26
4544,23556,689598,35637070,2011-01-09,Medium,34,11747.97000,0.05,Express Air,3302.03,363.25,19.99
5654,1445,361692,87932728,2011-01-09,Medium,30,339.49000,0.08,Regular Air,-74.21,11.97,5.81
5769,14693,945963,76457359,2011-01-09,Critical,38,847.82000,0.05,Delivery Truck,-1348.50,20.98,45.00
7301,14693,272882,76457359,2011-01-09,Critical,39,268.94000,0.02,Regular Air,-87.52,6.48,6.41
7637,43814,99546,59426264,2011-01-09,Medium,40,197.10000,0.09,Regular Air,-12.88,5.28,2.99
393,20805,504878,76162149,2011-01-10,High,12,69.98000,0.06,Regular Air,-58.33,5.53,6.98
394,20805,436896,76162149,2011-01-10,High,12,45.61000,0.10,Regular Air,9.18,3.85,0.70
558,42081,275481,91844273,2011-01-10,Low,26,1493.85800,0.02,Regular Air,183.24,65.99,8.80
964,40420,394140,91889558,2011-01-10,High,50,886.36300,0.08,Regular Air,450.02,20.99,0.99
965,40420,186776,91889558,2011-01-10,High,22,59.08000,0.10,Regular Air,-2.61,2.88,1.49
1567,32901,232452,104494645,2011-01-10,Critical,13,49.74000,0.00,Regular Air,17.70,3.75,0.50
2045,20805,126813,76162149,2011-01-10,High,35,418.34000,0.08,Regular Air,73.57,12.58,5.16
3129,41895,360858,71445870,2011-01-10,Critical,8,27663.92000,0.05,Regular Air,-391.92,3499.99,24.49
4322,35266,757246,11928127,2011-01-10,Not Specified,39,217.25000,0.07,Regular Air,33.50,5.84,1.20
5969,41254,612619,96580875,2011-01-10,Critical,17,1782.68000,0.08,Regular Air,280.64,107.53,5.81
7065,20805,857575,76162149,2011-01-10,High,3,17.70000,0.06,Regular Air,-10.37,4.28,4.79
7128,42081,657298,91844273,2011-01-10,Low,3,32.49000,0.08,Regular Air,-5.05,10.94,1.39
7129,42081,352478,91844273,2011-01-10,Low,36,188.34000,0.04,Regular Air,-110.16,5.18,5.74
121,46468,851117,40615970,2011-01-11,Critical,41,1618.31000,0.08,Express Air,504.71,39.48,1.99
1211,12773,373440,105870693,2011-01-11,Low,6,17.00000,0.07,Regular Air,-4.61,2.78,1.49
1904,46468,351447,40615970,2011-01-11,Critical,46,7535.96000,0.08,Regular Air,2745.87,165.98,19.99
2562,12773,924265,105870693,2011-01-11,Low,15,67.41000,0.04,Regular Air,-49.60,4.14,6.60
4181,12773,793720,105870693,2011-01-11,Low,21,77.62000,0.01,Regular Air,-50.88,3.28,3.97
4360,21670,206992,65028410,2011-01-11,High,24,1965.21000,0.00,Regular Air,830.75,78.69,19.99
5203,4134,630917,90970454,2011-01-11,Critical,23,757.91000,0.02,Regular Air,-16.05,30.97,4.00
5204,4134,34354,90970454,2011-01-11,Critical,48,6403.39000,0.01,Delivery Truck,-824.15,130.98,54.74
6968,46468,1044002,40615970,2011-01-11,Critical,1,11.87000,0.04,Regular Air,-8.89,6.48,5.40
7399,12773,563334,105870693,2011-01-11,Low,19,130.67000,0.05,Regular Air,-77.18,6.48,7.86
