trans_id,trans_dt,enrl_id,pymt_type_id,full_price,discount_type_id,payment_amount,full_paid
900001,2024-09-09,700001,3,7200.00,,7200.00,1
900002,2024-06-18,700002,5,6000.00,,4729.77,0
900003,2025-04-07,700003,1,5400.00,,1800.00,N
900004,2025-04-14,700003,2,5400.00,,1800.00,No
900005,2025-04-21,700003,5,5400.00,,1800.00,Yes
900006,2024-04-11,700004,3,4800.00,,3730.07,0
900007,2025-05-23,700005,4,5400.00,20,1550.00,N
900008,2025-05-30,700005,5,5400.00,20,1550.00,No
900009,2025-06-06,700005,2,5400.00,20,1550.00,Yes
900010,2025-06-18,700006,2,4200.00,20,916.86,
900011,2025-06-25,700006,2,4200.00,20,916.86,0
900012,2025-07-02,700006,1,4200.00,20,916.87,N
900013,2024-01-24,700007,1,6000.00,40,2000.00,No
900014,2024-01-31,700007,1,6000.00,40,2000.00,1
900015,2024-12-08,700008,3,7200.00,,3600.00,0
900016,2024-12-15,700008,5,7200.00,,3600.00,Yes
900017,2025-09-19,700009,1,7200.00,,2369.14,
900018,2025-09-26,700009,5,7200.00,,2369.14,N
900019,2024-10-18,700010,2,4200.00,60,841.82,No
900020,2024-10-25,700010,2,4200.00,60,841.82,N
900021,2024-11-01,700010,3,4200.00,60,841.82,0
900022,2024-11-08,700010,5,4200.00,60,841.81,0
900023,2025-07-05,700011,2,7200.00,40,3151.25,No
900024,2024-12-13,700012,1,5400.00,,2700.00,
900025,2024-12-20,700012,3,5400.00,,2700.00,1
900026,2025-05-25,700013,1,3500.00,,875.00,No
900027,2025-06-01,700013,4,3500.00,,875.00,
900028,2025-06-08,700013,5,3500.00,,875.00,
900029,2025-06-15,700013,4,3500.00,,875.00,Yes
900030,2025-08-25,700014,5,7200.00,30,6000.00,1
900031,2024-12-26,700016,4,3500.00,,3500.00,1
900032,2024-09-10,700017,2,3500.00,10,388.03,N
900033,2024-09-17,700017,5,3500.00,10,388.03,N
900034,2024-09-24,700017,2,3500.00,10,388.03,No
900035,2024-10-01,700017,5,3500.00,10,388.04,
900036,2025-03-22,700018,3,3500.00,,875.00,0
900037,2025-03-29,700018,1,3500.00,,875.00,0
900038,2025-04-05,700018,3,3500.00,,875.00,N
900039,2025-04-12,700018,3,3500.00,,875.00,Yes
900040,2024-07-31,700019,5,3500.00,,1750.00,N
900041,2024-08-07,700019,1,3500.00,,1750.00,Y
900042,2025-03-09,700020,4,4200.00,20,862.50,N
900043,2025-03-16,700020,1,4200.00,20,862.50,No
900044,2025-03-23,700020,3,4200.00,20,862.50,N
900045,2025-03-30,700020,2,4200.00,20,862.50,Y
900046,2025-01-17,700021,2,6000.00,40,4000.00,Y
900047,2025-05-28,700022,3,3500.00,10,3000.00,Y
900048,2023-12-17,700023,4,5400.00,60,3132.34,N
900049,2025-09-23,700024,4,3500.00,,488.01,
900050,2025-09-30,700024,4,3500.00,,488.01,
900051,2025-10-07,700024,3,3500.00,,488.02,N
900052,2024-10-06,700025,2,3500.00,40,1500.00,Yes
900053,2024-10-03,700026,2,3500.00,10,3000.00,Y
900054,2024-04-30,700027,2,5400.00,40,3400.00,1
900055,2024-08-03,700028,3,5400.00,,2700.00,N
900056,2024-08-10,700028,1,5400.00,,2700.00,Yes
900057,2024-08-07,700029,4,7200.00,,1919.87,0
