cohort_id,cohort_name,start_dt,end_dt
301,2024-01,2024-01-08,2024-04-15
302,2024-01,2024-02-19,2024-05-27
303,2024-04,2024-04-01,2024-07-08
304,2024-04,2024-05-13,2024-08-19
305,2024-04,2024-06-24,2024-09-30
306,2024-07,2024-08-05,2024-11-11
307,2024-07,2024-09-16,2024-12-23
308,2024-10,2024-10-28,2025-02-03
309,2024-10,2024-12-09,2025-03-17
310,2025-01,2025-01-20,2025-04-28
311,2025-01,2025-03-03,2025-06-09
312,2025-04,2025-04-14,2025-07-21
313,2025-04,2025-05-26,2025-09-01
314,2025-07,2025-07-07,2025-10-13
315,2025-07,2025-08-18,2025-11-24
316,2025-07,2025-09-29,2026-01-05
