enrl_id,enrl_date,stu_id,course_id,cohort_id,status
700001,2024-09-09,5607,203,307,active
700002,2024-06-18,5608,202,305,active
700003,2025-04-07,5609,222,312,active
700004,2024-04-11,5610,202,304,active
700005,2025-05-23,5611,208,313,active
700006,2025-06-18,5612,208,314,cancelled
700007,2024-01-24,5613,211,302,active
700008,2024-12-08,5602,217,310,active
700009,2025-09-19,5603,223,316,active
700010,2024-10-18,5604,203,308,active
700011,2025-07-05,5605,218,314,active
700012,2024-12-13,5606,220,310,active
700013,2025-05-25,5601,224,313,active
700014,2025-08-25,5602,209,316,active
700015,2025-01-11,5603,207,310,active
700016,2024-12-26,5604,205,310,active
700017,2024-09-10,5605,208,307,active
700018,2025-03-22,5606,221,312,active
700019,2024-07-31,5601,206,306,active
700020,2025-03-09,5602,202,312,active
700021,2025-01-17,5603,217,311,active
700022,2025-05-28,5604,216,314,active
700023,2023-12-17,5605,215,301,active
700024,2025-09-23,5606,216,316,active
700025,2024-10-06,5601,206,308,active
700026,2024-10-03,5405,219,308,active
700027,2024-04-30,5283,213,304,active
700028,2024-08-03,5361,224,306,active
700029,2024-08-07,5445,221,307,active
700030,2024-04-19,5503,213,304,cancelled
700031,2025-02-25,5217,213,311,active
700032,2024-01-15,5359,203,302,active
700033,2024-04-19,5103,203,304,cancelled
700034,2024-06-20,5368,208,305,active
700035,2024-05-08,5452,208,304,active
700036,2025-07-21,5305,212,315,active
700037,2025-04-06,5405,220,312,active
700038,2024-01-06,5503,205,301,active
700039,2024-06-03,5457,210,305,active
700040,2024-02-10,5346,219,302,active
700041,2025-06-08,5113,204,314,active
700042,2024-09-29,5484,213,308,active
700043,2025-08-11,5216,210,315,active
700044,2024-12-16,5536,219,310,cancelled
700045,2024-02-13,5370,224,302,active
700046,2024-11-18,5351,218,309,active
700047,2024-07-04,5106,214,306,active
700048,2024-12-03,5197,201,309,active
700049,2024-08-01,5552,201,306,active
700050,2024-05-13,5579,203,305,active
700051,2024-01-28,5530,213,302,active
700052,2024-06-14,5440,216,305,active
700053,2024-07-17,5009,222,306,active
700054,2025-04-11,5569,203,312,active
700055,2024-05-01,5112,219,304,active
700056,2024-07-23,5002,213,306,active
700057,2024-06-25,5379,212,306,active
700058,2024-05-24,5426,216,305,active
700059,2025-06-21,5272,223,314,active
700060,2025-09-06,5312,216,316,active
700061,2024-12-07,5214,210,309,active
700062,2025-04-03,5146,204,312,active
700063,2024-04-13,5190,221,304,active
700064,2024-09-12,5276,203,307,active
700065,2024-04-20,5434,209,304,active
700066,2025-08-16,5483,205,315,active
700067,2024-11-15,5297,202,309,active
700068,2025-04-08,5143,217,312,active
700069,2023-11-29,5532,208,301,active
700070,2024-04-24,5016,206,304,active
700071,2024-02-16,5041,224,303,active
700072,2025-09-01,5010,209,316,active
700073,2024-01-29,5177,206,302,cancelled
700074,2025-02-24,5435,210,311,active
700075,2024-11-06,5103,210,309,active
700076,2024-08-30,5470,202,307,active
700077,2024-12-03,5577,214,309,active
700078,2024-12-12,5058,215,310,active
700079,2025-03-17,5461,220,312,active
700080,2024-04-19,5314,212,304,active
700081,2025-03-29,5371,224,312,active
700082,2025-07-07,5433,212,315,active
700083,2024-12-12,5505,201,310,active
700084,2024-01-08,5268,218,302,active
700085,2025-05-08,5485,208,313,active
700086,2025-08-25,5324,204,316,active
700087,2024-05-03,5568,218,304,active
700088,2025-02-27,5518,222,311,active
700089,2023-11-24,5499,224,301,active
700090,2025-04-07,5228,213,312,active
700091,2024-11-04,5037,205,309,active
700092,2025-07-20,5592,210,315,active
700093,2025-09-03,5342,220,316,cancelled
700094,2025-06-27,5076,203,314,active
700095,2024-09-11,5393,208,307,active
700096,2024-02-11,5285,208,302,active
700097,2024-11-02,5031,209,309,cancelled
700098,2025-06-14,5597,219,314,active
700099,2025-02-22,5218,220,311,active
700100,2024-10-02,5309,222,308,active
700101,2023-12-05,5563,216,301,active
700102,2024-10-12,5484,204,308,active
700103,2024-06-07,5118,204,305,active
700104,2025-03-08,5468,222,312,active
700105,2024-07-17,5370,204,306,active
700106,2024-01-31,5150,209,302,active
700107,2025-04-19,5194,213,313,active
700108,2024-02-11,5469,204,302,active
700109,2024-11-18,5489,210,309,active
700110,2025-02-18,5004,207,311,active
700111,2025-06-09,5428,202,314,active
700112,2024-02-06,5096,220,302,active
700113,2023-12-08,5588,222,301,active
700114,2024-11-11,5179,221,309,active
700115,2024-02-06,5460,221,302,active
700116,2024-02-14,5337,224,302,active
700117,2024-01-15,5032,218,302,active
700118,2024-02-09,5338,214,302,active
700119,2025-06-29,5176,223,314,active
700120,2024-10-07,5489,202,308,active
700121,2025-09-18,5441,215,316,active
700122,2024-09-17,5549,209,308,active
700123,2023-12-17,5249,212,301,active
700124,2025-09-17,5025,216,316,active
700125,2025-09-01,5452,204,316,active
700126,2023-12-16,5462,213,301,cancelled
700127,2024-04-19,5469,214,304,active
700128,2024-11-21,5184,223,309,active
700129,2025-01-19,5186,223,310,cancelled
700130,2024-05-11,5108,208,305,active
700131,2025-05-21,5198,205,313,active
700132,2024-05-26,5021,215,305,active
700133,2024-10-13,5396,203,308,active
700134,2024-10-10,5067,221,308,active
700135,2024-08-10,5390,211,307,active
700136,2025-08-25,5408,222,316,active
700137,2024-03-08,5242,210,303,active
700138,2024-08-06,5017,203,307,active
700139,2025-03-11,5422,207,312,active
700140,2024-09-07,5292,221,307,active
700141,2024-10-15,5547,204,308,active
700142,2025-07-16,5311,212,315,cancelled
700143,2023-12-03,5213,209,301,active
700144,2024-11-03,5017,217,309,active
700145,2025-01-20,5098,216,311,active
700146,2024-10-24,5557,219,308,active
700147,2025-05-20,5034,217,313,active
700148,2025-07-21,5223,215,315,active
700149,2025-04-14,5487,202,313,active
700150,2025-09-28,5515,201,316,active
700151,2024-09-05,5244,208,307,active
700152,2025-02-23,5542,203,311,active
700153,2024-08-05,5056,202,307,active
700154,2024-04-06,5571,209,304,active
700155,2024-05-23,5428,207,305,active
700156,2025-09-15,5567,211,316,active
700157,2024-10-11,5460,208,308,active
700158,2024-08-20,5585,203,307,active
700159,2024-04-23,5287,210,304,active
700160,2024-01-16,5149,209,302,active
700161,2024-02-16,5224,219,302,active
700162,2025-05-26,5482,209,314,active
700163,2024-07-08,5223,221,306,active
700164,2025-05-22,5333,206,313,active
700165,2025-02-26,5040,224,311,active
700166,2025-01-18,5377,224,311,active
700167,2024-12-12,5071,205,310,active
700168,2024-08-20,5558,210,307,cancelled
700169,2025-07-09,5136,211,315,active
700170,2025-03-03,5061,219,312,active
700171,2024-11-30,5503,224,309,active
700172,2024-11-08,5481,221,309,active
700173,2024-05-31,5123,201,305,active
700174,2024-07-28,5258,204,306,active
700175,2025-02-05,5584,203,311,active
700176,2025-01-21,5355,211,311,active
700177,2024-04-24,5472,222,304,active
700178,2024-11-01,5521,209,309,active
700179,2024-02-15,5506,217,302,active
700180,2024-06-23,5038,217,306,active
700181,2025-05-10,5258,211,313,active
700182,2024-09-24,5422,204,308,active
700183,2024-03-20,5540,213,303,active
700184,2025-04-18,5029,210,313,active
700185,2024-01-03,5573,212,301,active
700186,2025-04-25,5388,203,313,active
700187,2025-04-08,5298,208,312,active
700188,2024-10-15,5516,217,308,active
700189,2025-03-05,5269,220,312,active
700190,2025-07-26,5402,209,315,active
700191,2024-03-17,5460,222,303,active
700192,2024-12-15,5153,205,310,active
700193,2023-12-09,5528,203,301,active
700194,2025-06-25,5225,217,314,active
700195,2024-06-15,5585,205,305,active
700196,2024-04-20,5054,204,304,active
700197,2024-05-11,5456,203,305,active
700198,2024-07-15,5180,203,306,active
700199,2025-07-03,5303,212,314,active
700200,2024-04-06,5501,224,304,active
700201,2024-02-02,5163,216,302,active
700202,2024-01-13,5450,217,302,active
700203,2024-09-22,5032,217,308,active
700204,2024-08-29,5304,210,307,active
700205,2025-03-28,5011,215,312,active
700206,2024-11-04,5522,205,309,active
700207,2024-11-05,5582,223,309,active
700208,2024-11-15,5419,222,309,active
