LineID,OrderID,ProductID,CustomerID,OrderDate,OrderPriority,OrderQuantity,Sales,Discount,ShipMode,Profit,UnitPrice,ShippingCost
6155,13729,1064589,45703891,2009-01-01,Not Specified,9,872.48000,0.08,Express Air,-342.91,95.99,35.00
6356,28774,539839,48962730,2009-01-01,High,32,180.36000,0.10,Regular Air,-111.80,5.98,4.69
980,9285,639682,80357374,2009-01-02,Critical,3,124.81000,0.06,Regular Air,-11.94,40.98,2.99
1832,44069,704553,74751086,2009-01-02,Critical,16,137.63000,0.09,Express Air,26.71,9.11,2.15
3300,37537,149455,14033736,2009-01-02,Low,32,4902.38000,0.05,Regular Air,1438.49,155.06,7.07
4834,37537,470743,14033736,2009-01-02,Low,4,1239.06000,0.00,Delivery Truck,-193.08,291.73,48.80
4835,37537,620553,14033736,2009-01-02,Low,43,4083.19000,0.07,Delivery Truck,-1049.85,100.98,45.00
7724,44069,5889,74751086,2009-01-02,Critical,43,614.80000,0.08,Regular Air,247.79,15.04,1.97
327,9762,450797,51065809,2009-01-03,High,12,262.76000,0.05,Regular Air,-146.05,20.98,21.20
770,40354,731566,79423257,2009-01-03,High,29,172.51000,0.03,Regular Air,12.55,5.58,2.99
2759,7909,821950,95652866,2009-01-03,High,29,122.23000,0.03,Regular Air,24.55,4.26,1.20
5239,30016,609559,68464052,2009-01-03,Critical,8,754.65550,0.01,Regular Air,-212.55,110.99,2.50
5549,11972,738097,61795149,2009-01-03,Not Specified,4,896.49000,0.00,Delivery Truck,-452.27,213.45,14.70
6622,9637,260366,19646967,2009-01-03,Low,49,28359.40000,0.05,Regular Air,14440.39,574.74,24.49
6623,9637,245758,19646967,2009-01-03,Low,12,123.76000,0.04,Regular Air,32.44,10.14,2.27
6927,30016,1031199,68464052,2009-01-03,Critical,15,85.56000,0.03,Regular Air,-41.58,5.28,5.66
1,8710,657768,40732966,2009-01-04,Critical,42,151.35000,0.07,Express Air,8.33,3.71,1.93
1841,8710,821997,40732966,2009-01-04,Critical,17,63.34000,0.03,Regular Air,-76.02,3.36,6.27
6129,49730,1045401,89767975,2009-01-04,High,3,1039.56000,0.06,Delivery Truck,-394.69,350.98,30.00
370,1028,529361,45168399,2009-01-05,High,11,2021.14700,0.01,Regular Air,-60.39,205.99,5.99
424,57253,477659,12671287,2009-01-05,Critical,25,2750.10700,0.04,Regular Air,667.45,125.99,5.26
2376,28451,120431,31467554,2009-01-05,Critical,21,4201.08000,0.01,Regular Air,1162.76,194.30,11.54
3168,52386,651577,29172730,2009-01-05,High,6,700.73000,0.08,Delivery Truck,-188.58,120.97,26.30
3548,32418,188964,87034117,2009-01-05,Not Specified,5,1244.19000,0.08,Delivery Truck,-131.31,243.98,43.32
3690,1028,677142,45168399,2009-01-05,High,6,165.75000,0.03,Regular Air,-28.46,28.48,1.99
3721,57253,476021,12671287,2009-01-05,Critical,29,653.54000,0.06,Delivery Truck,-1358.90,20.98,53.03
3724,57253,180041,12671287,2009-01-05,Critical,43,78.08000,0.08,Regular Air,1.74,1.81,0.75
4011,28451,475727,31467554,2009-01-05,Critical,41,8958.46000,0.02,Regular Air,2593.14,209.84,21.21
5113,59232,940865,32396854,2009-01-05,High,23,725.43000,0.00,Regular Air,245.97,30.98,5.76
5448,57253,453581,12671287,2009-01-05,Critical,48,12635.75000,0.07,Regular Air,-335.24,279.48,35.00
5740,28451,399912,31467554,2009-01-05,Critical,33,4913.70000,0.00,Delivery Truck,1054.93,145.45,17.85
5894,290,334736,96713610,2009-01-05,Not Specified,24,188.73000,0.05,Regular Air,-32.48,7.64,5.83
5897,25601,539839,37673316,2009-01-05,Medium,43,257.41000,0.09,Regular Air,-131.08,5.98,4.69
608,16961,841964,7345328,2009-01-06,Not Specified,27,46.86000,0.06,Regular Air,-37.08,1.70,1.99
1060,14274,332331,75858772,2009-01-06,Not Specified,2,61.71850,0.03,Regular Air,-164.04,35.99,1.10
2449,14274,884540,75858772,2009-01-06,Not Specified,46,1413.89000,0.01,Express Air,-40.72,28.28,13.99
2467,6854,56825,24082624,2009-01-06,Medium,19,129.84000,0.05,Express Air,2.39,6.64,4.95
2468,6854,516201,24082624,2009-01-06,Medium,1,22.13000,0.07,Express Air,-2.39,7.68,6.16
3110,48226,160678,46851405,2009-01-06,Low,23,2357.45000,0.02,Delivery Truck,-108.80,100.98,35.84
4090,14274,515830,75858772,2009-01-06,Not Specified,23,3674.08000,0.01,Delivery Truck,112.44,150.98,30.00
4256,23488,793720,19646165,2009-01-06,High,29,101.77000,0.03,Regular Air,-73.19,3.28,3.97
6125,16770,672413,29705839,2009-01-06,Critical,17,37.06000,0.03,Regular Air,0.61,2.10,0.70
6534,23488,751161,38059837,2009-01-06,Critical,30,26133.39000,0.04,Delivery Truck,-11053.60,880.98,44.55
6675,41094,572974,12299029,2009-01-06,Low,6,159.05000,0.05,Regular Air,-153.46,20.34,35.00
7149,16961,886377,7345328,2009-01-06,Not Specified,34,1089.59000,0.01,Regular Air,433.24,30.98,5.09
7896,41094,723460,12299029,2009-01-06,Low,46,298.97000,0.09,Regular Air,-225.86,6.48,8.73
1298,3073,221283,104752832,2009-01-07,Medium,3,10.58000,0.05,Regular Air,-11.58,1.98,4.77
2026,43909,166184,73805224,2009-01-07,High,46,737.25000,0.08,Regular Air,-199.13,15.99,13.18
2612,3073,205200,104752832,2009-01-07,Medium,3,2119.67000,0.07,Express Air,-2314.74,699.99,24.49
4010,32295,930353,31467554,2009-01-07,High,11,607.59700,0.07,Regular Air,-112.24,65.99,5.99
5103,33923,930353,99563074,2009-01-07,Low,34,1961.79150,0.05,Regular Air,425.75,65.99,5.99
5211,40704,592380,77082747,2009-01-07,Low,6,11.57000,0.01,Regular Air,-2.06,1.76,0.70
5602,18405,942944,83750888,2009-01-07,Medium,30,610.65000,0.09,Express Air,60.27,20.98,8.83
