TRANS_ID,PROD_KEY,STORE_KEY,TRANS_DT,TRANS_TIME,PRIORITY,SALES_QTY,SALES_PRICE,SALES_AMT,DISCOUNT,SALES_COST,SALES_MGRN,SHIPMODE,SHIP_COST
247136,1021964,8106,3/7/2010,19,"""Medium""",0.9,30.98,49.61,0,72.8,-41.82,"""Regular Air""",17.08
247138,385812,8106,12/22/2009,13,"""Not Specified""",30.1,54.96,1724.52,0.03,1322.6,1040.65,"""Regular Air""",10.75
247140,621870,8106,7/23/2010,20,"""High""",2.7,22.84,53.07,0.06,89.59,-21.13,"""Regular Air""",8.18
247142,1017940,8106,3/8/2011,17,"""Not Specified""",18.2,6.48,154.51,0.07,284.97,-116.56,"""Express Air""",8.19
247144,490474,8106,5/20/2009,14,"""Not Specified""",50,6.48,355.03,0,357.31,-33.31,"""Regular Air""",5.11
247146,73356,8106,11/6/2010,12,"""Low""",27,5.98,111.34,0.04,139.96,21.46,"""Regular Air""",2.5
247148,653263,8106,6/11/2011,19,"""Not Specified""",14,6.48,96.58,0.06,253.48,-123.94,"""Regular Air""",10.05
247150,140003,8106,3/25/2009,20,"""Not Specified""",23,12.28,250.95,0.03,247.25,35.16,"""Regular Air""",4.86
247152,307544,8106,6/20/2009,16,"""Not Specified""",27.3,6.48,238.49,0.09,363.19,-110.56,"""Regular Air""",6.22
247154,827242,8106,1/4/2011,17,"""Medium""",13.5,6.08,64.42,0.03,71.46,19.71,"""Regular Air""",0.91
247156,653263,8106,6/17/2011,19,"""Medium""",19.6,6.48,138.75,0.01,344.71,-163.28,"""Express Air""",10.05
247158,267787,8106,7/31/2011,17,"""High""",9.8,40.99,474.9,0.02,548.65,25.19,"""Regular Air""",19.99
247160,600953,8106,12/11/2009,20,"""Medium""",1.6,38.76,80.31,0.02,120.22,-42.72,"""Regular Air""",13.26
247162,102789,8106,9/18/2012,16,"""Not Specified""",26.1,6.48,138.19,0.06,316.54,-128.68,"""Regular Air""",8.4
247164,279111,8106,5/23/2010,19,"""Not Specified""",24.8,4.73,114.37,0.09,112.95,33.59,"""Regular Air""",1.52
247166,467344,8106,9/15/2010,11,"""Medium""",50,6.48,302.45,0.01,564.77,-240.78,"""Regular Air""",8.88
247168,598953,8106,4/11/2011,10,"""High""",3.2,7.04,19.64,0.09,33.48,-5.41,"""Regular Air""",2.17
247170,103518,8106,4/10/2011,14,"""Not Specified""",16.1,11.34,275.16,0.05,217.42,43.35,"""Express Air""",5.01
247172,940550,8106,4/10/2011,12,"""Not Specified""",37,35.44,912.09,0.02,765.77,545.49,"""Regular Air""",5.09
247174,752280,8106,4/29/2010,9,"""Medium""",42,23.99,1060.34,0.04,1182.48,-174.94,"""Delivery Truck""",15.68
247176,584472,8106,3/2/2010,17,"""Medium""",36,4.98,134.12,0.04,329.98,-150.74,"""Regular Air""",7.44
247178,265285,8106,9/29/2012,19,"""Low""",28.7,6.48,238.85,0.1,502.59,-237.01,"""Regular Air""",9.54
247180,473902,8106,4/7/2011,7,"""Not Specified""",38.7,18.97,652.89,0.04,749.53,66.14,"""Regular Air""",9.54
247182,1073132,8106,2/7/2010,14,"""Critical""",18.9,4.98,76.91,0.05,202.7,-98.17,"""Regular Air""",7.54
247184,384417,8106,2/7/2010,16,"""Critical""",25.9,22.84,734.99,0.09,1027.79,-182.8,"""Regular Air""",16.87
247186,155203,8106,9/29/2012,11,"""Low""",7.2,6.48,45.2,0.02,68.98,-17.16,"""Regular Air""",5.19
247188,250992,8106,8/16/2012,10,"""Not Specified""",16,6.48,92.2,0.1,173.5,-44,"""Regular Air""",5.74
247190,1017940,8106,8/29/2012,8,"""Critical""",13.5,6.48,74.27,0.09,162.78,-65.67,"""Express Air""",8.19
247192,384417,8106,9/16/2009,11,"""Low""",21.6,22.84,644.4,0.04,713.92,-97.28,"""Regular Air""",16.87
247194,981266,8106,12/29/2010,9,"""Medium""",20,6.48,168.39,0.03,306.86,-144.89,"""Regular Air""",9.68
247196,247078,8106,5/3/2010,16,"""Critical""",24,29.89,717.29,0.01,526.06,191.29,"""Regular Air""",1.99
247198,812196,8106,3/28/2012,17,"""High""",24.8,6.45,165.19,0.05,119.83,80.07,"""Regular Air""",1.34
247200,160229,8106,5/12/2012,10,"""Low""",2.4,6.48,18.36,0,33.16,-13.72,"""Regular Air""",6.6
247202,988897,8106,4/29/2011,9,"""Medium""",10.8,5.98,76.16,0.04,95.75,-24.03,"""Regular Air""",5.2
247204,202436,8106,5/15/2010,16,"""Medium""",42.3,6.48,224.36,0.1,448.11,-143.65,"""Regular Air""",6.35
247206,364275,8106,7/15/2010,13,"""Low""",43.2,65.99,2150.46,0.04,2322.66,844.82,"""Regular Air""",2.5
247208,734492,8106,9/29/2009,19,"""High""",29.7,6.75,190.33,0.1,204.5,18.15,"""Regular Air""",2.99
247210,563334,8106,12/9/2011,13,"""Not Specified""",50,6.48,231.19,0.07,519.5,-195.57,"""Regular Air""",7.86
247212,79826,8106,6/30/2011,20,"""Low""",11.2,9.27,135.21,0.04,123.85,5.89,"""Regular Air""",4.39
247214,229862,8106,2/5/2011,11,"""High""",2.8,19.98,73.6,0.07,92.28,-12.43,"""Regular Air""",5.97
247216,996641,8106,3/26/2009,7,"""Not Specified""",23.2,7.84,202.73,0.03,234.92,-7.59,"""Regular Air""",4.71
247218,983577,8106,5/31/2012,17,"""Low""",30.1,6.48,249.37,0.08,457.67,-179.11,"""Regular Air""",7.91
247220,403940,8106,12/30/2011,18,"""High""",18,45.19,835.55,0.04,641.79,171.59,"""Regular Air""",1.99
247222,267787,8106,8/12/2012,8,"""Medium""",50,40.99,2040.39,0.07,1828.34,221.09,"""Regular Air""",19.99
247224,536441,8106,10/28/2009,9,"""High""",27.9,48.91,1370.56,0.1,1004.6,511.51,"""Regular Air""",5.97
247226,333937,8106,10/28/2009,19,"""High""",20.3,5.98,121.09,0.08,233.09,-59.75,"""Regular Air""",5.46
247228,5889,8106,6/16/2011,9,"""Not Specified""",4.5,15.04,63.3,0.1,74.03,1.07,"""Regular Air""",1.97
247230,412186,8106,9/20/2009,15,"""Critical""",26,125.99,1927.23,0.04,2765.21,510.49,"""Regular Air""",4.2
247232,940944,8106,9/20/2009,7,"""Critical""",26.1,6.48,182.66,0.02,238.54,-50.64,"""Regular Air""",5.9
247234,279111,8106,10/12/2010,14,"""Critical""",22,4.73,80.1,0.08,84.21,19.77,"""Regular Air""",1.52
247236,598592,8106,6/21/2011,13,"""High""",23.1,6.68,221.23,0.02,265.71,-45.29,"""Regular Air""",5.2
247238,247078,8106,9/25/2009,9,"""Low""",24.3,29.89,650.14,0.05,571.1,235.88,"""Regular Air""",1.99
247240,450484,8106,5/12/2010,20,"""Low""",38.7,40.98,1341.82,0.08,1233.27,528.79,"""Regular Air""",7.47
247242,307544,8106,9/25/2010,11,"""Medium""",30.8,6.48,289.94,0.07,387.24,-102.19,"""Regular Air""",6.22
247244,209703,8106,6/1/2009,11,"""Not Specified""",25,22.84,379.48,0.08,585.68,-14.76,"""Regular Air""",11.54
247246,690859,8106,9/3/2010,16,"""Medium""",6.3,99.99,733.36,0.02,970.39,-270.48,"""Regular Air""",19.99
247248,630857,8106,3/8/2011,19,"""Low""",28.7,5.8,243.37,0.01,344.21,-106.42,"""Regular Air""",5.59
247250,694962,8106,8/10/2009,9,"""Low""",32,6.48,147.66,0.08,301.87,-94.59,"""Regular Air""",6.81
247252,761140,8106,6/9/2010,7,"""Low""",10,4.98,41.32,0.1,81.83,-32.13,"""Regular Air""",5.49
247254,229862,8106,6/1/2011,8,"""High""",17.5,19.98,329.08,0.08,408.33,91.09,"""Regular Air""",5.97
247256,620362,8106,9/9/2012,7,"""Medium""",8.4,6.48,60.68,0,121.24,-43.48,"""Regular Air""",7.37
247258,812196,8106,4/15/2010,8,"""Medium""",40,6.45,196.66,0.08,171.48,86.44,"""Regular Air""",1.34
